cand_id,state_abb,district_number,election_year,republican,contestant_id,ideology_score,primary_vote
cand_362,IL,15,2000,1,contestant_2,0.15829404070973396,0.3603159189224243
cand_363,IL,16,1980,1,contestant_1,0.11587309092283249,0.44972488284111023
cand_364,IL,16,1980,1,contestant_2,0.3393784388899803,0.2558119297027588
cand_365,IL,16,1992,1,contestant_1,0.10741841048002243,0.5642523169517517
cand_366,IL,16,1992,1,contestant_2,0.13152487576007843,0.4357476532459259
cand_367,IL,17,1982,1,contestant_1,0.29524144530296326,0.5114264488220215
cand_368,IL,17,1982,1,contestant_2,0.0824073851108551,0.4885735511779785
cand_369,IL,18,1994,0,contestant_1,-0.2183484137058258,0.4358362555503845
cand_370,IL,18,1994,0,contestant_2,-0.25188302993774414,0.3899140954017639
cand_371,IL,19,1984,0,contestant_1,-0.05343446135520935,0.37085697054862976
cand_372,IL,19,1984,0,contestant_2,-0.339463472366333,0.1872708648443222
cand_373,IL,19,1992,0,contestant_1,-0.2096427083015442,0.6180588603019714
cand_374,IL,19,1992,0,contestant_2,-0.05343446135520935,0.38194116950035095
cand_375,IL,19,1998,1,contestant_1,0.4151664972305298,0.5586983561515808
cand_376,IL,19,1998,1,contestant_2,0.11909601092338562,0.2944757342338562
cand_377,IL,20,1980,1,contestant_1,0.1806662231683731,0.5557123422622681
cand_378,IL,20,1980,1,contestant_2,0.14158602058887482,0.44428762793540955
cand_379,IL,21,1986,0,contestant_1,-0.10554996132850647,0.5246049165725708
cand_380,IL,21,1986,0,contestant_2,-0.05382781848311424,0.3953959047794342
cand_381,IL,21,1988,0,contestant_1,-0.13387911021709442,0.46232980489730835
cand_382,IL,21,1988,0,contestant_2,-0.05382782220840454,0.2686516344547272
cand_383,IL,22,1984,0,contestant_1,-0.10204415768384933,0.5586465001106262
cand_384,IL,22,1984,0,contestant_2,-0.2159181535243988,0.4413534998893738
cand_385,IN,1,1984,0,contestant_1,-0.10144699364900589,0.34464871883392334
cand_386,IN,1,1984,0,contestant_2,-0.30689121037721634,0.326396107673645
cand_387,IN,2,1982,1,contestant_1,0.3437750041484833,0.40533849596977234
cand_388,IN,2,1982,1,contestant_2,0.3415464758872986,0.34956806898117065
cand_389,IN,2,1994,1,contestant_1,0.1776488572359085,0.4313783347606659
